# Source string | opt expected string | opt comment

# The very basics

one|one
one two | (one two)
(one two)
a b AND c | (a b) AND c
one two -- three | (one two -- three)

# Basic operators and precedence

a AND b OR c | (a AND b) OR c
a AND b
a b AND c | (a b) AND c
a OR b AND c | a OR (b AND c)
(a OR b) AND c d | (a OR b) AND (c d)
a OR b AND c OR d | a OR ((b AND c) OR d)

# Basic fielded

title:(one) | title:one
title:(a AND b)
title:a b AND c | title:(a b) AND c
one two title:three four|(one two) title:(three four)


